row_index,token_count,sum_score,mean_score
233,2047,-37.74072265625,-0.018437089719711773
234,2047,-37.74072265625,-0.018437089719711773
235,2047,-37.7412109375,-0.018437328254763068
236,2047,-37.74072265625,-0.018437089719711773
237,2047,-37.74072265625,-0.018437089719711773
238,2047,-37.74072265625,-0.018437089719711773
239,2047,-37.7412109375,-0.018437328254763068
240,2047,-37.74072265625,-0.018437089719711773
241,2047,-37.74072265625,-0.018437089719711773
242,2047,-37.74072265625,-0.018437089719711773
243,2047,-37.7412109375,-0.018437328254763068
244,2047,-37.74072265625,-0.018437089719711773
245,2047,-37.74072265625,-0.018437089719711773
246,2047,-37.74072265625,-0.018437089719711773
247,2047,-37.7412109375,-0.018437328254763068
248,2047,-37.74072265625,-0.018437089719711773
249,2047,-37.74072265625,-0.018437089719711773
250,2047,-37.74072265625,-0.018437089719711773
251,2047,-69.498046875,-0.033951170920859794
252,2047,-72.94091796875,-0.03563308156753786
253,2047,-67.6220703125,-0.03303471925378603
254,2047,-52.26318359375,-0.025531599215315094
255,2047,-60.8505859375,-0.02972671516243283
256,2047,-83.2177734375,-0.04065352879213483
257,2047,-46.470703125,-0.022701857901807523
258,2047,-21.71240234375,-0.010606938125915975
259,2047,-85.985595703125,-0.04200566473039814
260,2047,-78.41259765625,-0.038306105352344896
261,2047,61.1787109375,0.029887010716902786
262,2047,-61.1171875,-0.029856955300439667
263,2047,-85.0859375,-0.04156616389838789
264,2047,-64.93603515625,-0.03172253793661456
265,2047,-77.99755859375,-0.0381033505587445
266,2047,-83.32763671875,-0.04070719917867611
267,2047,-98.5634765625,-0.04815020838422081
268,2047,-29.32373046875,-0.014325222505495847
269,2047,-61.86328125,-0.03022143685881778
270,2047,-10.8056640625,-0.005278780685148999
271,2047,-56.23974609375,-0.027474228673058133
272,2047,-68.48046875,-0.033454063873961895
273,2047,-56.615234375,-0.027657662127503663
274,2047,-80.669921875,-0.03940885289447973
275,2047,-99.1669921875,-0.04844503770762091
276,2047,-82.5830078125,-0.04034343322545188
277,2047,-78.01025390625,-0.03810955247007816
278,2047,-73.88671875,-0.03609512396189546
279,2047,-123.99072265625,-0.06057192118038593
280,2047,-46.82275390625,-0.022873841673790914
281,2047,-68.9150390625,-0.03366636006961407
282,2047,-69.37109375,-0.03388915180752321
283,2047,-62.71923828125,-0.030639588803737176
284,2047,-65.1669921875,-0.031835365015876894
285,2047,-58.10400390625,-0.02838495549890083
286,2047,-51.994140625,-0.025400166402051783
287,2047,-73.93212890625,-0.03611730772166585
288,2047,-73.576171875,-0.0359434156692721
289,2047,-34.8984375,-0.017048577186126037
290,2047,-77.9111328125,-0.038061129854665365
291,2047,-64.72998046875,-0.031621876144968246
292,2047,-71.962890625,-0.03515529585979482
293,2047,-78.6572265625,-0.03842561141304348
294,2047,-52.19921875,-0.025500351123595506
295,2047,-50.1796875,-0.024513770151441135
296,2047,-63.31201171875,-0.030929170356008794
297,2047,-73.64404296875,-0.035976572041402054
298,2047,-60.77685546875,-0.029690696369687346
299,2047,-52.53466796875,-0.02566422470383488
300,2047,-90.734375,-0.044325537371763556
301,2047,45.5986328125,0.022275834300195408
302,2047,-75.50146484375,-0.03688395937652662
303,2047,-53.28271484375,-0.02602966040241817
304,2047,-80.25390625,-0.039205621030776745
305,2047,-57.02734375,-0.027858985710796286
306,2047,-34.582275390625,-0.0168941257404128
307,2047,-45.159912109375,-0.02206151055660723
308,2047,-113.30029296875,-0.05534943476734245
309,2047,-86.3720703125,-0.042194465223497804
310,2047,-38.37646484375,-0.018747662356497313
311,2047,-72.6943359375,-0.0355126213666341
312,2047,-47.609375,-0.023258121641426478
313,2047,41.6943359375,0.020368508030043968
314,2047,-33.72900390625,-0.016477285738275525
315,2047,-65.7548828125,-0.03212256121763556
316,2047,-34.9052734375,-0.01705191667684416
317,2047,-62.7548828125,-0.03065700186248168
318,2047,-71.33349609375,-0.03484782417867611
319,2047,-63.275390625,-0.0309112802271617
320,2047,-69.494140625,-0.03394926264044944
321,2047,-95.88671875,-0.04684255923302394
322,2047,-71.96728515625,-0.03515744267525647
323,2047,-89.30615234375,-0.043627822346726915
324,2047,-55.46142578125,-0.027094003801294578
325,2047,-94.208984375,-0.04602295279677577
326,2047,-18.8994140625,-0.009232737695407915
327,2047,-64.28173828125,-0.03140290096787982
328,2047,-72.552734375,-0.03544344620175867
329,2047,-49.26953125,-0.02406914081582804
330,2047,-133.5107421875,-0.0652226390754763
331,2047,-68.857421875,-0.03363821293356131
332,2047,-44.87744140625,-0.021923518029433316
333,2047,-50.351806640625,-0.024597853757022472
334,2047,24.57421875,0.012004992061553492
335,2047,-73.51904296875,-0.03591550706827064
336,2047,-85.11962890625,-0.04158262281692721
337,2047,-37.736328125,-0.018434942904250122
338,2047,-50.0771484375,-0.024463677790669273
339,2047,-81.82763671875,-0.039974419501099166
340,2047,-51.849609375,-0.025329560026868588
341,2047,-53.42919921875,-0.026101220917806547
342,2047,-53.91015625,-0.026336177943331703
